280517,"AIC Adelaide                  ","20807   ",2020-05-01 00:00:00.000,AFC,NULL,0,3,"P1                  "
280518,"AIC Adelaide                  ","20324   ",2020-05-01 00:00:00.000,AFC,NULL,0,3,"P1                  "
280520,"AIC Adelaide                  ","20039   ",2020-05-01 00:00:00.000,AFC,NULL,0,3,"P1                  "
280521,"AIC Adelaide                  ","20210   ",2020-05-01 00:00:00.000,AFC,NULL,0,3,"P1                  "
276133,"AIC Adelaide                  ","19385   ",2020-04-28 00:00:00.000,AFC,NULL,0,3,"P1                  "
272150,"AIC Adelaide                  ","20516   ",2020-04-28 00:00:00.000,AFC,NULL,0,3,"P1                  "
272151,"AIC Adelaide                  ","20176   ",2020-04-28 00:00:00.000,AFC,NULL,0,3,"P1                  "
272152,"AIC Adelaide                  ","20324   ",2020-04-28 00:00:00.000,AFC,NULL,0,3,"P1                  "
272154,"AIC Adelaide                  ","20039   ",2020-04-28 00:00:00.000,AFC,NULL,0,3,"P1                  "
272155,"AIC Adelaide                  ","20210   ",2020-04-28 00:00:00.000,AFC,NULL,0,3,"P1                  "
272156,"AIC Adelaide                  ","20763   ",2020-04-28 00:00:00.000,AFC,NULL,0,3,"P1                  "
272157,"AIC Adelaide                  ","19377   ",2020-04-28 00:00:00.000,AFC,NULL,0,3,"P1                  "
272158,"AIC Adelaide                  ","19390   ",2020-04-28 00:00:00.000,AFC,NULL,0,3,"P1                  "
270518,"AIC Adelaide                  ","19373   ",2020-04-28 00:00:00.000,AFC,NULL,0,3,"P1                  "
270519,"AIC Adelaide                  ","20224   ",2020-04-28 00:00:00.000,AFC,NULL,0,3,"P1                  "
270520,"AIC Adelaide                  ","20208   ",2020-04-28 00:00:00.000,AFC,NULL,0,3,"P1                  "
270521,"AIC Adelaide                  ","19402   ",2020-04-28 00:00:00.000,AFC,NULL,0,3,"P1                  "
270522,"AIC Adelaide                  ","19405   ",2020-04-28 00:00:00.000,AFC,NULL,0,3,"P1                  "
270523,"AIC Adelaide                  ","20205   ",2020-04-28 00:00:00.000,AFC,NULL,0,3,"P1                  "
270524,"AIC Adelaide                  ","20139   ",2020-04-28 00:00:00.000,AFC,NULL,0,3,"P1                  "
270525,"AIC Adelaide                  ","19395   ",2020-04-28 00:00:00.000,AFC,NULL,0,3,"P1                  "
270526,"AIC Adelaide                  ","19408   ",2020-04-28 00:00:00.000,AFC,NULL,0,3,"P1                  "
270527,"AIC Adelaide                  ","19107   ",2020-04-28 00:00:00.000,AFC,NULL,0,3,"P1                  "
